Region,Crop,Rainfall,Temperature,Humidity,Soil_Type,Soil_pH,Nitrogen,Phosphorus,Potassium,Fertilizer_Used,Irrigation,Area,Season,Yield
Kashkadarya,Rice,376,18.0,73,Black,7.27,66,65,86,Yes,Yes,18.8,Autumn,10.66
Surkhandarya,Corn,299,18.1,67,Silt,7.57,77,75,100,Yes,No,25.2,Winter,8.85
Fergana,Potato,425,20.2,77,Sandy,7.45,98,79,120,Yes,Yes,25.6,Spring,32.69
Khorezm,Barley,423,26.3,84,Sandy,7.68,109,88,137,Yes,Yes,31.0,Summer,7.8
Namangan,Tomato,466,27.4,38,Clay,7.98,93,82,127,No,Yes,37.4,Autumn,46.41
Fergana,Wheat,535,29.5,45,Loam,5.34,99,90,144,No,Yes,41.8,Spring,8.37
Khorezm,Cotton,552,35.6,52,Loam,5.57,142,33,185,Yes,No,47.2,Summer,6.9
Namangan,Rice,677,16.7,75,Saline,5.42,143,43,208,Yes,Yes,53.6,Autumn,10.04
Samarkand,Corn,600,16.8,69,Black,6.17,154,53,222,Yes,Yes,60.0,Winter,13.17
Bukhara,Potato,726,21.9,76,Black,6.26,63,60,239,Yes,Yes,63.4,Spring,30.46
Namangan,Barley,724,29.0,80,Silt,6.56,74,70,83,Yes,Yes,69.8,Summer,7.31
Samarkand,Tomato,767,30.1,40,Sandy,6.86,85,80,103,Yes,No,76.2,Autumn,41.06
Bukhara,Wheat,836,31.2,47,Sandy,6.95,91,87,120,Yes,Yes,79.6,Spring,6.15
Jizzakh,Cotton,213,17.3,51,Clay,7.18,107,96,134,Yes,Yes,7.0,Summer,6.73
Tashkent,Rice,338,18.4,68,Loam,7.48,81,90,127,No,Yes,13.4,Autumn,9.2
Bukhara,Corn,261,16.5,65,Loam,7.64,119,32,168,Yes,Yes,17.8,Winter,10.43
Jizzakh,Potato,387,23.6,78,Saline,7.42,113,25,167,No,No,23.2,Spring,28.72
Tashkent,Barley,385,30.7,82,Black,5.37,151,51,205,Yes,Yes,29.6,Summer,8.85
Andijan,Tomato,428,29.8,39,Black,5.53,162,59,222,Yes,Yes,34.0,Autumn,48.19
Kashkadarya,Wheat,497,16.9,43,Silt,6.04,56,72,236,Yes,Yes,43.4,Spring,9.5
Tashkent,Cotton,514,20.0,53,Sandy,6.06,45,62,62,No,Yes,45.8,Summer,6.99
Andijan,Rice,639,19.1,70,Sandy,6.22,73,86,103,Yes,No,50.2,Autumn,8.74
Kashkadarya,Corn,562,22.2,64,Clay,6.73,57,83,93,No,Yes,59.6,Winter,11.4
Surkhandarya,Potato,688,30.3,71,Loam,7.03,105,109,134,Yes,Yes,66.0,Spring,29.95
Fergana,Barley,686,31.4,78,Loam,6.91,89,15,127,No,Yes,66.4,Summer,6.73
Kashkadarya,Tomato,729,15.5,41,Saline,6.97,127,44,174,Yes,Yes,75.8,Autumn,42.04
Surkhandarya,Wheat,798,19.6,45,Black,7.72,133,54,188,Yes,No,4.2,Spring,7.19
Fergana,Cotton,175,20.7,52,Black,7.6,149,58,205,Yes,Yes,4.6,Summer,7.88
Khorezm,Rice,300,20.8,66,Silt,7.83,150,67,219,Yes,Yes,10.0,Autumn,9.72
Namangan,Corn,223,20.9,66,Sandy,5.33,161,77,239,Yes,Yes,16.4,Winter,10.36
Fergana,Potato,349,27.0,73,Sandy,5.49,70,85,86,Yes,Yes,20.8,Spring,31.42
Khorezm,Barley,347,33.1,77,Clay,5.72,81,94,100,Yes,No,26.2,Summer,6.1
Namangan,Tomato,390,14.2,84,Loam,6.02,65,88,93,No,Yes,32.6,Autumn,45.83
Samarkand,Wheat,459,18.3,41,Loam,6.32,71,16,110,No,Yes,39.0,Spring,9.09
Bukhara,Cotton,476,22.4,54,Saline,5.96,114,39,157,Yes,Yes,42.4,Summer,7.63
Namangan,Rice,601,23.5,68,Black,6.71,115,49,171,Yes,Yes,48.8,Autumn,12.75
Samarkand,Corn,524,23.6,65,Black,7.01,126,59,188,Yes,No,55.2,Winter,11.43
Bukhara,Potato,650,28.7,69,Silt,7.1,147,66,202,Yes,Yes,58.6,Spring,29.58
Jizzakh,Barley,648,34.8,79,Sandy,7.33,158,75,222,Yes,Yes,64.0,Summer,6.73
Tashkent,Tomato,691,15.9,86,Sandy,7.63,57,85,239,Yes,Yes,70.4,Autumn,42.54
Bukhara,Wheat,760,18.0,40,Clay,7.79,63,93,83,Yes,Yes,74.8,Spring,6.97
Jizzakh,Cotton,777,24.1,47,Loam,5.22,79,102,100,Yes,No,2.2,Summer,5.96
Tashkent,Rice,902,25.2,64,Loam,5.52,53,14,93,No,Yes,8.6,Autumn,10.46
Andijan,Corn,185,23.3,67,Saline,5.23,91,38,140,Yes,Yes,13.0,Winter,9.57
Kashkadarya,Potato,311,14.4,71,Black,6.19,85,35,130,No,Yes,22.4,Spring,30.08
Tashkent,Barley,309,17.5,78,Black,6.21,123,57,171,Yes,Yes,24.8,Summer,9.75
Andijan,Tomato,352,16.6,82,Silt,6.37,134,65,185,Yes,No,29.2,Autumn,42.26
Kashkadarya,Wheat,421,23.7,42,Sandy,6.88,140,78,205,Yes,Yes,38.6,Spring,9.43
Surkhandarya,Cotton,438,30.8,49,Sandy,7.18,129,72,198,No,Yes,45.0,Summer,7.8
Fergana,Rice,563,25.9,63,Clay,7.06,157,92,236,Yes,Yes,45.4,Autumn,11.99
Kashkadarya,Corn,486,29.0,60,Loam,7.57,29,89,59,No,Yes,54.8,Winter,11.0
Surkhandarya,Potato,612,17.1,67,Loam,7.87,77,33,100,Yes,No,61.2,Spring,28.88
Fergana,Barley,610,18.2,80,Saline,7.3,61,21,99,No,Yes,61.6,Summer,6.28
Khorezm,Tomato,653,18.3,84,Black,7.98,99,46,137,Yes,Yes,67.0,Autumn,44.22
